# Data on the measured reflection coefficient for the case that the loudspeaker is attached to the measurement section (Small Pipe) 
# DataFile 2014-09_RigidPlate\LongRange1Pa_NoProtGrid\ 
# f, abs(R), deg(R), Sr, Stheta
f 	 mag 	 phase 	 Sr 	 Stheta 
1.090000e+03 	 9.931152e-01 	 -3.769312e-01 	 9.737865e-04 	 2.217251e-01
1.100000e+03 	 9.931087e-01 	 -2.806460e-01 	 1.033563e-03 	 2.231768e-01
1.110000e+03 	 9.932599e-01 	 -5.588817e-01 	 9.492244e-04 	 2.268006e-01
1.120000e+03 	 9.935321e-01 	 -1.010806e-01 	 1.242349e-04 	 2.354814e-01
1.130000e+03 	 9.937269e-01 	 -9.200195e-02 	 1.319070e-03 	 2.252474e-01
1.140000e+03 	 9.933286e-01 	 -4.320444e-01 	 1.071048e-03 	 2.315772e-01
1.150000e+03 	 9.930225e-01 	 -3.060685e-01 	 2.888244e-04 	 2.407830e-01
1.160000e+03 	 9.931001e-01 	 9.321556e-03 	 3.092865e-04 	 2.421126e-01
1.170000e+03 	 9.931235e-01 	 -3.039934e-02 	 7.233335e-04 	 2.402538e-01
1.180000e+03 	 9.932336e-01 	 -1.204556e-02 	 1.141834e-03 	 2.356475e-01
1.190000e+03 	 9.932068e-01 	 -6.805194e-05 	 1.538997e-03 	 2.286847e-01
1.200000e+03 	 9.931894e-01 	 -8.862950e-02 	 1.209149e-04 	 2.457227e-01
1.210000e+03 	 9.930876e-01 	 -4.116688e-01 	 4.956491e-04 	 2.446091e-01
1.220000e+03 	 9.930982e-01 	 -4.011831e-03 	 5.860816e-04 	 2.446077e-01
1.230000e+03 	 9.929557e-01 	 -3.968077e-01 	 6.060753e-04 	 2.451551e-01
1.240000e+03 	 9.921631e-01 	 -2.933133e-01 	 5.413336e-04 	 2.466672e-01
1.250000e+03 	 9.920717e-01 	 7.422009e-03 	 4.655405e-04 	 2.484613e-01
1.260000e+03 	 9.923345e-01 	 -3.968607e-02 	 4.146483e-04 	 2.502805e-01
1.270000e+03 	 9.924713e-01 	 -1.328475e-01 	 4.315719e-04 	 2.519830e-01
1.280000e+03 	 9.926107e-01 	 3.307367e-03 	 5.163232e-04 	 2.535124e-01
1.290000e+03 	 9.927592e-01 	 -6.158567e-02 	 6.418154e-04 	 2.548713e-01
1.300000e+03 	 9.928109e-01 	 -2.382208e-01 	 7.821690e-04 	 2.561317e-01
1.310000e+03 	 9.929319e-01 	 -3.333610e-01 	 9.160888e-04 	 2.574467e-01
